object	provenance	pipeline_step	verdict	note
CAMERA_RESULTS	regenerated	10_build_data	VALUES-DIFFER	built by 12_build_camera_results; cameraPR over 11 tissue x ome and 12 databases (PTMSIGDB excluded, as upstream)
CLIN_CHEMISTRY_DA	carried-forward		CARRIED-FORWARD	
CONTRAST_CONVERTER	regenerated	10_build_data	IDENTICAL	built by 10_build_da_assemble from sources/contrast_converter.txt; all.equal to package object
COVARIATES_FILE	regenerated	00_preflight	VALUES-DIFFER	built by 00_preflight (leaf)
FCM_CAMERA	regenerated	10_build_data	VALUES-DIFFER	built by 13_build_fcm; cameraPR over cluster membership, 8 tissue x ome and 12 databases
FCM_CLUSTERS	regenerated	10_build_data	VALUES-DIFFER	built by 13_build_fcm; run_cmeans over 3 tissues (k = 13/13/12, set via FCM_K_*)
FCM_ORA	regenerated	10_build_data	VALUES-DIFFER	built by 13_build_fcm; ORA over hard-assigned clusters; compared against FCM_CAMERA
HUMAN_ACUTE_TIMEPOINT_COLORS	regenerated	00_preflight	IDENTICAL	built by 00_preflight (leaf); node-runner PASS
HUMAN_EXERCISE_GROUP_COLORS	regenerated	00_preflight	IDENTICAL	built by 00_preflight (leaf); node-runner PASS
HUMAN_FEATURE_TO_GENE	regenerated	10_build_data	SCHEMA-CHANGE	built from local staging/freeze metadata_features (QC_NORM); completeness-checked vs OME_TISSUE_CODE; now retains flanking_sequence for step-12 prot-ph enrichment
HUMAN_OME_COLORS	regenerated	00_preflight	VALUES-DIFFER	built by 00_preflight (leaf); node-runner PASS
HUMAN_SEX_COLORS	regenerated	00_preflight	IDENTICAL	built by 00_preflight (leaf); node-runner PASS
HUMAN_TISSUE_ABBR	regenerated	00_preflight	IDENTICAL	built by 00_preflight (leaf); node-runner PASS
HUMAN_TISSUE_COLORS	regenerated	00_preflight	IDENTICAL	built by 00_preflight (leaf); node-runner PASS
METABOLOMICS_CVS	staged-verbatim	10_build_data	VALUES-DIFFER	staged verbatim from the production-bucket metabolite-cv tier; the package copy is older (3878 rows vs 4000)
MOLECULAR_SIGNATURES	regenerated	10_build_data	VALUES-DIFFER	adapted stem reads preflight GMTs (00_preflight/output)
MUSCLE_EPIGEN_ATAC_SEQ_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats; epigen DA read from the step-09 freeze, restricted to adj_p_value < 0.05
MUSCLE_EPIGEN_METHYLCAP_SEQ_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats; epigen DA read from the step-09 freeze, restricted to adj_p_value < 0.05
MUSCLE_METAB_DA	regenerated	10_build_data	SCHEMA-CHANGE	built by 10_build_da_assemble; 10 metab platforms stacked, platform in its own column
MUSCLE_METAB_T_AMINES_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
MUSCLE_METAB_T_NUC_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
MUSCLE_METAB_T_OXYLIPNEG_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
MUSCLE_METAB_T_TCA_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
MUSCLE_METAB_U_HILICPOS_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
MUSCLE_METAB_U_IONPNEG_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
MUSCLE_METAB_U_LRPNEG_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
MUSCLE_METAB_U_LRPPOS_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
MUSCLE_METAB_U_RPNEG_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
MUSCLE_METAB_U_RPPOS_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
MUSCLE_PROT_PH_DA	regenerated	10_build_data	SCHEMA-CHANGE	built by 10_build_da_assemble from the step-09 DA freeze
MUSCLE_PROT_PH_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
MUSCLE_PROT_PR_DA	regenerated	10_build_data	SCHEMA-CHANGE	built by 10_build_da_assemble from the step-09 DA freeze
MUSCLE_PROT_PR_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
MUSCLE_TRANSCRIPT_RNA_SEQ_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
MUSCLE_TRNSCRPT_DA	regenerated	10_build_data	SCHEMA-CHANGE	built by 10_build_da_assemble from the step-09 DA freeze
OME_TISSUE_CODE	regenerated	00_preflight	VALUES-DIFFER	built by 00_preflight (leaf); gsutil ls results bucket
OUTLIERS	regenerated	00_preflight	VALUES-DIFFER	built by 00_preflight (leaf)
SET_TO_ID	regenerated	10_build_data	IDENTICAL	adapted stem loads local MOLECULAR_SIGNATURES.rda
SPLICING_DA	regenerated	00_preflight	IDENTICAL	built by 00_preflight (leaf); local differential_splicing.rds
UTORONTO_TFs	carried-forward		CARRIED-FORWARD	local DatabaseExtract_v_1.01.txt; not yet run
