fname_abbrev,crf_title,description
GRIP,Grip Strength,Grip strength measurements are collected using a dynamometer during study visits. Data include maximal grip force for both hands recorded under standardized conditions. Measurements provide a reliable indicator of upper body strength.
HWWT,"Height, Weight and Waist Circumference","Anthropometric measurements of height, weight, and waist circumference are taken at key time points. Data are collected using calibrated equipment to ensure accuracy. These metrics provide foundational information on body composition and overall health."
INMO,Intervention Monitoring Visit,"Intervention monitoring visits document participants? adherence to prescribed exercise or control interventions. Data include attendance records, adherence reports, and any deviations from protocol. Visits are conducted by trained study staff to ensure consistency."
ISKE,Isometric Knee Extension,Isometric knee extension tests measure lower body strength using specialized equipment. Data include maximum force generated during static muscle contractions. Tests are conducted under controlled conditions to ensure accuracy and reliability.
LLCO,Local Lab Collection,"Local laboratory collections include biospecimens such as blood and urine processed on-site. Data capture includes participant identifiers, collection times, and specimen types. Specimens are handled and stored according to standardized protocols for downstream analysis."
LABR,Local Lab Results,"Results from local laboratory analyses of biospecimens are recorded in this dataset. Data include measures such as blood glucose, lipid levels, and other clinical biomarkers. Results are reviewed and validated by study personnel for quality assurance."
MDHX,Medical History ,"Medical history forms capture participant-reported health conditions, medications, and prior treatments. Data include chronic illnesses, surgeries, and relevant family health history. Records are reviewed by study staff to ensure completeness and accuracy."
MEDI,Medication Inventory,"Medication inventory records include detailed information about medications participants are currently taking. Data capture includes medication names, dosages, and frequency of use. Records are verified during study visits to ensure completeness."
MESL,Missed Exercise Session Log,Logs of missed exercise sessions document participant absences and reasons for missed sessions. Data include dates of missed sessions and any follow-up actions taken. These records help track adherence to intervention protocols.
MCPR,Muscle Specimen Collection: Pre-Exercise/ Rest 1 (Timepoint 1),"Muscle tissue samples are collected at baseline before exercise or rest sessions. Data include participant identifiers, collection times, and handling conditions. Samples are processed immediately to ensure quality for molecular analyses."
MC15,Muscle Specimen Collection: 15 Min Post Exercise/ 15 Min Rest 3 (Timepoint 2),Muscle tissue collected 15 minutes after exercise or rest provides data on short-term physiological changes. Collection involves minimally invasive techniques and standardized handling protocols. Tissue samples are labeled and stored for subsequent analysis.
MC35,Muscle Specimen Collection: 3.5 Hour Post Exercise/ 3.5 Hour Rest 3 (Timepoint 3),"Muscle specimens are collected 3.5 hours post-exercise or rest to capture intermediate recovery-phase changes. Data capture includes collection times, participant IDs, and storage conditions. All procedures follow strict protocol guidelines for consistency."
MC24,Muscle Specimen Collection: 24 Hour Post Exercise/ 24 Hour Rest 3 (Timepoint 4),"Muscle tissue collected 24 hours after exercise or rest highlights longer-term recovery processes. Data include participant identifiers, sample handling records, and collection times. Samples are processed and stored under controlled conditions for further use."
STAT,Participant and Consent Status Log,"Logs of participant and consent status document recruitment, consent acquisition, and ongoing participation. Data include participant IDs, consent dates, and any updates to their status during the study. These records ensure compliance with ethical guidelines."
PARE,Participating Relatives,Information about participating relatives is recorded to capture familial involvement in the study. Data include relationships to primary participants and their consent status. These records support analyses that consider familial contributions to exercise outcomes.
PAMC,Pre-Activity Medical Clearance,"Medical clearance forms document participants' fitness and eligibility for study activities. Data include health evaluations, risk assessments, and approvals from medical personnel. These records ensure participants meet safety criteria before engaging in interventions."
PSCA,Pre-Screening Assessment,"Pre-screening assessments evaluate participants' eligibility before enrollment. Data include demographic information, initial health screenings, and self-reported activity levels. Records are reviewed by study staff to confirm eligibility for the trial."
PRMS,PROMIS,"PROMIS forms capture self-reported information on physical, mental, and social health. Data include participant responses to standardized questionnaires administered at key time points. These records are used to evaluate participants' perceived health and well-being."
RECL,Randomization Enrollment Clearance ,"Randomization enrollment clearance records document participants' assignment to study groups. Data include randomization codes, allocation details, and any stratification criteria. These records ensure adherence to randomization protocols."
RETL,Resistance Exercise Tracking Log,"Resistance exercise tracking logs record details of participants' resistance training sessions. Data include exercise type, duration, intensity, and session completion. Logs are maintained to ensure adherence to the prescribed resistance protocols."
FARA,Resistance Familiarization - Session 1,"The first resistance familiarization session introduces participants to resistance training equipment and exercises. Data include participant feedback, adjustments made during the session, and readiness for subsequent training. This session ensures proper technique and safety during future sessions."
FARB,Resistance Familiarization - Session 2,"The second resistance familiarization session provides additional practice with resistance exercises. Data capture focuses on refining technique, addressing participant concerns, and preparing for intervention phases. Sessions are conducted under the guidance of trained staff."
FARC,Resistance Familiarization - Session 3,"The final resistance familiarization session ensures participants are confident and consistent with resistance exercise protocols. Data include feedback from participants, session duration, and any necessary adjustments to the program. This session prepares participants for full intervention adherence."
RECG,Resting ECG,Resting ECG measurements capture participants' baseline cardiac function. Data include electrical activity of the heart recorded under standardized conditions. Measurements are conducted using calibrated ECG machines at study sites.
DXAG,DXA Scan Results - GE,"DXA scans performed using GE equipment provide detailed data on body composition. Records include measurements of bone density, lean mass, and fat mass. Scans are conducted according to standardized procedures to ensure consistency across sites."
DXAH,DXA Scan Results - Hologic,DXA scans performed using Hologic equipment capture body composition metrics such as bone density and fat distribution. Data are collected under controlled conditions and stored in compliance with study protocols. Participant identifiers and scan details are included.
